YEAR;WUE;ID;Psummer;Tsummer;BAI
1900;65.84802297;1;NA;NA;890.4107616
1901;64.63177716;1;48.8333346;32.90000153;823.1109226
1902;63.62088934;1;54.56666819;33.40000121;813.6831617
1903;62.0016273;1;48.16666794;24.73333359;931.7833319
1904;71.57365013;1;38.03333314;15.06666692;1126.793318
1905;61.67915741;1;54.80000051;35.03333378;1053.578834
1906;71.66289645;1;25.5666672;14.33333361;1094.747368
1907;74.43113729;1;22.16666667;20.96666654;835.6392753
1908;66.85559007;1;66.33333524;25.43333435;1097.927597
1909;66.32635594;1;41.73333263;16.36666648;1099.566006
1910;67.25029821;1;41.80000178;20.00000095;811.1921414
1911;67.04806395;1;54.93333435;27.60000006;1076.240745
1912;69.58559871;1;46.46666718;32.46666749;937.9297052
1913;67.9742302;1;41.60000102;24.39999994;1032.493108
1914;70.82433749;1;50.06666756;30.76666768;542.2281524
1915;69.32179826;1;35.93333356;21.19999997;823.9722888
1916;68.54693641;1;29.76666673;26.53333314;969.5263805
1917;68.10558011;1;39.66666794;22.70000045;1033.976517
1918;69.25736883;1;23.06666708;13.93333387;787.1584595
1919;60.56963038;1;24.86666648;18.4333334;840.5327518
1920;59.82802361;1;41.43333371;23.63333384;1090.56726
1921;65.9548542;1;42.0333341;26.50000095;909.2663019
1922;64.67882982;1;44.39999962;22.96666686;901.7292578
1923;65.24725167;1;41.10000165;41.26666832;320.0096853
1924;62.62945243;1;15.50000032;14.23333359;418.444542
1925;61.69641138;1;49.76666768;35.30000051;757.2805262
1926;68.52626336;1;28.96666718;20.26666673;839.3086191
1927;65.29029816;1;56.43333562;35.0333341;462.1326277
1928;65.4141152;1;30.26666705;22.56666692;560.4560639
1929;58.37341725;1;45.2000014;20.00000032;664.4459856
1930;58.61815769;1;67.80000114;35.06666692;990.2452918
1931;59.32982873;1;44.70000203;36.43333467;933.6124402
1932;62.00552099;1;85.53333537;54.46666876;614.1055775
1933;64.27761698;1;53.80000178;29.43333371;880.7348725
1934;66.98475239;1;49.43333435;34.26666705;1004.238292
1935;68.63534268;1;47;35.13333352;748.1100982
1936;63.71038764;1;48.66666698;29.03333378;602.006464
1937;63.61842276;1;50.83333429;19.20000013;806.1641067
1938;67.70571211;1;30.7000014;21.73333391;811.4279633
1939;64.60038632;1;57.13333384;34.06666724;907.584554
1940;64.74351591;1;65.80000051;36.6000007;1248.963544
1941;61.03376548;1;66.60000102;44.10000102;1096.412134
1942;67.6383803;1;57.76666768;43.53333378;980.7934634
